Alert, AlertCommand
Multi-Axis Milling, IronMultiAxisMilling_derived
Swarf, IronStrategy_swarf5d_derived
Multi-Axis Contour, IronStrategy_multiAxisContour_derived
Rotary Parallel, IronStrategy_rotary_finishing_derived
Rotary Pocket, IronStrategy_moduleworks_4axis_roughing_derived
Rotary Contour, IronStrategy_moduleworks_4axis_finishing_derived
Deburr, IronStrategy_moduleworks_automatic_deburring_derived
Advanced Swarf, IronStrategy_moduleworks_swarf_derived
Geodesic, IronStrategy_moduleworks_geodesic_derived
3+2 Clearing, IronStrategy_moduleworks_three_plus_two_derived
Multi-Axis Clearing, IronStrategy_moduleworks_multiaxis_roughing_derived
Multi-Axis Finishing, IronStrategy_moduleworks_multiaxis_finishing_derived
Turning, IronTurning
Turning Profile Roughing, IronStrategy_turningProfileRoughing
Turning Profile Finishing, IronStrategy_turningProfileFinishing
Turning Groove Roughing, IronStrategy_turningGrooveRoughing
Turning Groove Finishing, IronStrategy_turningGrooveFinishing
Turning Profile, IronStrategy_turningRoughing
Turning Groove, IronStrategy_turningProfileGroove
Turning Adaptive Roughing, IronStrategy_turningAdaptiveRoughing
Turning Face, IronStrategy_turningFace
Turning Single Groove, IronStrategy_turningGroove
Turning Chamfer, IronStrategy_turningChamfer
Turning Part, IronStrategy_turningPart
Turning Thread, IronStrategy_turningThread
Turning Trace, IronStrategy_turningTrace
Part Handling, IronPartHandling
Turning Stock Transfer, IronStrategy_turningStockTransfer
Subspindle Grab, IronStrategy_turningSecondarySpindleGrab
Bar Pull, IronStrategy_turningSecondarySpindlePull
Subspindle Return, IronStrategy_turningSecondarySpindleReturn
Tool Call, IronStrategy_turningToolCall
Turning, IronTurning_derived
Turning Profile Roughing, IronStrategy_turningProfileRoughing_derived
Turning Profile Finishing, IronStrategy_turningProfileFinishing_derived
Turning Groove Roughing, IronStrategy_turningGrooveRoughing_derived
Turning Groove Finishing, IronStrategy_turningGrooveFinishing_derived
Turning Profile, IronStrategy_turningRoughing_derived
Turning Groove, IronStrategy_turningProfileGroove_derived
Turning Adaptive Roughing, IronStrategy_turningAdaptiveRoughing_derived
Turning Face, IronStrategy_turningFace_derived
Turning Single Groove, IronStrategy_turningGroove_derived
Turning Chamfer, IronStrategy_turningChamfer_derived
Turning Part, IronStrategy_turningPart_derived
Turning Thread, IronStrategy_turningThread_derived
Turning Trace, IronStrategy_turningTrace_derived
Part Handling, IronPartHandling_derived
Turning Stock Transfer, IronStrategy_turningStockTransfer_derived
Subspindle Grab, IronStrategy_turningSecondarySpindleGrab_derived
Bar Pull, IronStrategy_turningSecondarySpindlePull_derived
Subspindle Return, IronStrategy_turningSecondarySpindleReturn_derived
Tool Call, IronStrategy_turningToolCall_derived
Cutting, IronWLPC
2D Profile, IronStrategy_jet2d
Cutting, IronWLPC_derived
2D Profile, IronStrategy_jet2d_derived
Form Mill, IronStrategy_create_form_mill
Probing, IronProbing
Inspect Surface, IronStrategy_inspectSurface
Probe Geometry, IronStrategy_probe_geometry
Part Alignment, IronStrategy_part_alignment
Align CAD to Part, IronStrategy_datum
Create Manual Inspection, IronStrategy_manual_inspect
CMM Inspection Setup, IronStrategy_cmm_inspection_setup
Additive, IronAdditive
Automatic Orientation, IronStrategy_additive_optimize_orientation
Arrange, IronStrategy_additive_arrange_strategy
Volume Support, IronStrategy_areavolume_additive_support
Solid Volume Support, IronStrategy_areavolume_additive_fff_support
Bar Support, IronStrategy_areabar_additive_support
Solid Bar Support, IronStrategy_areabar_additive_fff_support
Polyline Support, IronStrategy_areapolyline_additive_support
Medial Axis with Polyline Support, IronStrategy_skeletonpolyline_additive_support
Lattice Support, IronStrategy_lattice_additive_support
Down Oriented Point Bar Support, IronStrategy_downoriented_additive_support
Edge with Polyline Support, IronStrategy_edgepolyline_additive_support
Edge with Bar Support, IronStrategy_edgebar_additive_support
Cluster Contour with Polyline Support, IronStrategy_clustercontourpolyline_additive_support
Surround Volume by Polyline Support, IronStrategy_surroundvolumepolyline_additive_support
Base Plate Support, IronStrategy_baseplate_additive_support
Setter Support, IronStrategy_setter_additive_support
Lateral Support, IronStrategy_lateral_additive_support
Additive Toolpath, IronStrategy_additive_buildstyle
Individual Strategies, IronStrategy_additive_individual_strategies
Study, IronStrategy_AdditiveProcessSimulation
Create Machine Build File, IronStrategy_additive_formlabs_exportstrategy
3MF Scene Export, IronStrategy_additive_3mf_exportstrategy
DED, IronDED
Feature Construction, IronStrategy_feature_construction
DED, IronDED_derived
Feature Construction, IronStrategy_feature_construction_derived
Export XML, NeuCAMExportXMLCommand
SetToolGuid, CAMSetToolGuidCommand
SetRefToolGUID, CAMSetRefToolGUIDCommand
PresetToolLibraryActions, CAMPresetToolLibraryActionsCommand
ClearToolLibraryActions, CAMClearToolLibraryActionsCommand
Import 3D Tool, CAMImport3DToolCommand
SetMachine, CAMSetMachineCommand
SetPrintSetting, CAMSetPrintSettingCommand
SetPostScript, CAMSetPostScriptCommand
TestSimulationPlayerCmd, CAMTestSimulationPlayerCmd
Arrange Statistics, Simple3dArrangeReportCmdDef
Preview Machine Movements, MachineBuilder::ArmPreview
Edit in Machine Builder, MachineBuilder::EditInMachineBuilder
Preview Machine Movements, MachineBuilder::MachinePreviewMovements
Move Components, MachineBuilder::MoveComponents
Machine Builder, MachineBuilder::Start
Finish, MachineBuilder::Stop
Cancel, MachineBuilder::Cancel
Update Machine Model Document, MachineBuilder::UpdateCurrentDocument
Machine Builder, MachineBuilderWithLocalMachine::Start
Edit Machine Definition, MachineBuilder::MachineEdit
Select Machine, MachineBuilder::MachineSelection
Set Up Machine Model, MachineBuilder::ModelSelection
Orient Machine Model, MachineBuilder::OrientateMachine
Update Source Machine, MachineBuilder::UpdateSourceMachine
New Offline Drawing Item, NewPLMOfflineFusionDrawingItemBasedFusionCommand
New Drawing, NewDrawingMenuCommand
Create Drawing, FusionDrawingCreateFromComponentsCommand
From Design, NewFusionDrawingDocumentCommand
New Drawing Template, NewFusionDrawingTemplateCommand
Dashboard Create Drawing, DashboardCreateFusionDrawingCommand
Export DWG, ExportFusionDrawingDocumentCommand
Export Sheet as DXF, FusionDrawingExportDXFCommand
Export PDF, FusionDrawingExportPDFCommand
Export PDF, FusionDrawingExportSinglePDFCommand
Export PDF, FusionDrawingExportSelectedSheetsPDFCommand
Output Drawing Template, ExportFusionDrawingTemplateCommand
Export CSV, FusionDrawingExportPartsListCommand
Undo, FusionDrawingUndoCommand
Redo, FusionDrawingRedoCommand
Base View, FusionDrawingViewBaseCommand
Base View Placeholder, FusionDrawingViewBaseTemplateCommand
Edit View, FusionDrawingViewEditCommand
Break View, FusionBrokenViewCommand
Broken View Edit, FusionBrokenViewEditCommand
Linear Dimension, FusionDrawingLinearDimensionCmd
Aligned Dimension, FusionDrawingAlignedDimensionCmd
Angular Dimension, FusionDrawingAngularDimensionCmd
Radius Dimension, FusionDrawingRadialDimensionCmd
Baseline Dimension, FusionDrawingBaselineDimensionCmd
Chain Dimension, FusionDrawingChainDimensionCmd
Ordinate Dimension, FusionDrawingOrdinateDimensionCmd
Arc Length Dimension, FusionDrawingArcDimensionCmd
Edge Extension, FusionDrawingEdgeExtensionCmd
Dimension Break, FusionDrawingDimensionBreakCmd
Add Dimension Break, FusionDrawingAddDimensionBreakCmd
Remove Dimension Break, FusionDrawingRemoveDimensionBreakCmd
Curve Min Max Dimension, FusionDocMinMaxDimensionCmd
Auxiliary View, FusionDrawingViewAuxiliaryCommand
Arrange Dimensions, FusionDrawingDimensionArrangeCmd
Match Dimension, FusionDrawingMatchDimensionCmd
Match Dimension, FusionDrawingMatchDimCntxMenuCmd
Flip Arrows, FusionDrawingFlipDimArrowCmd
Flip Arrows, FusionDrawingFlipDimArrowCntxMenuCmd
Stack Dimensions, FusionDrawingDimensionStackArrangeCmd
Align Dimensions, FusionDrawingDimensionAlignArrangeCmd
Text, FusionDrawingMTextCommand
Leader Note, FusionDrawingLeaderCommand
Bend Note, FusionDrawingBendNoteLeaderCommand
Hole and Thread Note, FusionDrawingHoleThreadNoteLeaderCommand
Note, FusionDrawingNoteCommand
Leader, FusionDrawingArrowCommand
Table, FusionDrawingTableCommand
Edit Table Text, FusionDrawingTableTextEditCommand
Table, FusionDrawingTableEditCommand
Center Line, FusionDrawingCenterlineCommand
Center Mark, FusionDrawingCentermarkCommand
Center Mark Pattern, FusionDrawingCenterPatternCommand
Center Mark Pattern, FusionDrawingCenterPatternEditCommand
Diameter Dimension, FusionDrawingDiameterDimensionCmd
Jogged Radial Dimension, FusionDrawingJoggedRadiusDimensionCmd
Dimension, FusionDrawingSingleDimensionCmd
Simple Section View, FusionDrawingViewSimpleSectionCommand
Section View, FusionDrawingViewSectionCommand
Breakout Section View, FusionDrawingBreakoutSectionViewCommand
Edit Breakout Section View, FusionDrawingBreakoutSectionViewEditCommand
Detail View, FusionDrawingViewDetailCommand
Perspective View, FusionDrawingViewPerspectiveCommand
Projected View, FusionDrawingViewProjectCommand
Projected View Placeholder, FusionDrawingViewProjectTemplateCommand
Move, FusionDrawingMoveCmd
Rotate, FusionDocRotateCmd
Edit Hatch, FusionDrawingHatchEditCmd
Reset, FusionDocRestoreDefaultsCmd
Edit Dimension, FusionDrawingDimensionEditCmd
Delete, FusionDrawingEraseCmd
Delete, FusionDocDeleteCmd
Pan, FusionDrawingPanCmd
Zoom Window, FusionDrawingZoomCmd
Fit, FusionDrawingFitCmd
Reassociate, FusionDrawingDimReassociateCmd
Reassociate, FusionDrawingSmartObjReassociateCmd
Reassociate, FusionDrawingDisabledReassocCmd
Reassociate, FusionDrawingAcmSymbolReassocCmd
Reassociate, FusionDrawingCustomLeaderReassociateCmd
Continue, FusionDrawingContinueCmd
Edit Title Block, FusionDrawingTitleBlockEditCommand
Parts List, FusionDrawingCreatePartsListCommand
Table, FusionDrawingNewTableCommand
Table Placeholder, FusionDrawingNewTableTemplateCommand
Custom Table, FusionDrawingEmptyTableCommand
Parts List, FusionDrawingPartsListTableCommand
Bend Table, FusionDrawingBendTableCommand
Revision History, FusionDrawingRevisionTableCommand
Bend Identifier, FusionDrawingBendIDCommand
Hole Table, FusionDrawingHoleTableCommand
Balloon, FusionDrawingBalloonCommand
Balloon, FusionDrawingSplineBalloonCommand
Renumber, FusionDrawingRenumberCommand
Align Balloons, FusionDrawingAlignBalloonCommand
Edit Text, FusionDrawingMTextEditCommand
Edit Leader Text, FusionDrawingMLeaderContentEditCommand
GripStretch, FusionDrawingGripStretchCommand
Revision Cloud, FusionDocRevCloudCommand
New Title Block, FusionDrawingNewTitleBlockCommand
Edit Title Block, FusionDrawingBlockEditCommand
Finish Title Block, FusionDrawingBlockCloseCommand
Line, FusionDrawingLineCommand
Center Radius Circle, FusionDrawingCircleCommand
CircleDiameter, FusionDrawingCircleDiameterCommand
Circle2Point, FusionDrawingCircle2PointCommand
Circle3Point, FusionDrawingCircle3PointCommand
2-Point Rectangle, FusionDrawingRectangleCommand
3-Point Arc, FusionDrawingArcCommand
ArcCenter, FusionDrawingArcCenterCommand
ArcTangent, FusionDrawingArcTangentCommand
Ellipse, FusionDrawingEllipseCommand
Copy, FusionDrawingCopyCommand
Offset, FusionDrawingOffsetCommand
Trim, FusionDrawingTrimCommand
Extend, FusionDrawingExtendCommand
Attribute, FusionDrawingAttDefCommand
Attribute Definition Edit, FusionDrawingAttEditCommand
Legacy Text Edit, FusionDrawingLegacyTextEditCommand
Edit Border, FusionDrawingBorderEditCommand
Finish Border, FusionDrawingBorderCloseCommand
Measure, FusionDrawingMeasureCommand
Datum Identifier, FusionDrawingDatumIdCmd
Symbol Edit, FusionDrawingSymbolEditCmd
Feature Control Frame, FusionDrawingFeatureControlFrameCmd
Surface Texture, FusionDrawingSurfaceTextureCmd
Welding, FusionDrawingWeldSymbolCmd
Taper and Slope, FusionDrawingTaperSlopeSymbolCmd
Get Latest, FusionDocUpdateCommand
Choose Version, FusionDocChooseVersionCommand
Show/Hide, FusionDrawingShowHideCommand
Suppress/UnSuppress, FusionDrawingSuppressUnsuppressCommand
Suppress, FusionDrawingSuppressCommand
Unsuppress, FusionDrawingUnsuppressCommand
Show All Components, FusionDrawingShowAllCommand
Show All Components, FusionDrawingShowAllChildCommand
Unsuppress All Components, FusionDrawingUnsuppressAllCommand
Unsuppress All Components, FusionDrawingUnsuppressAllChildCommand
Suppress All Except Selected, FusionDrawingSuppressAllExceptSelectedCommand
Capture Image, FusionDocScreenshotCmd
Open, OpenRelatedDesignCommand
SmartSheet, FusionDrawingSmartSheetCommand
SmartDrawing, FusionDrawingSmartDrawingCommand
Show In Location, ShowInLocationDrawingCmd
Change Document Settings, FusionChangeDocSettingCommand
Import Document Settings, FusionImportDocSettingsCommand
Change Document Settings, FusionChangeMultiDocSettingCommand
Change Text Height Group, FusionChangeTextHeightGroupCommand
Change Font, FusionChangeFontCommand
Change Line Width Group, FusionChangeLineWidthGroupCommand
Change Dimension Units, FusionChangeDimensionUnitsCommand
Change Revision Scope, FusionChangeRevisionScopeCommand
Sheet Size, FusionChangeSheetSettingCommand
Change Sheet Settings, FusionChangeMultiSheetSettingsCommand
Change Sheet Size, FusionChangeSheetSizeCommand
Change Title Block, FusionChangeTitleBlockCommand
Change Display Border, FusionChangeDisplayBorderCommand
Change Display Title Block, FusionChangeDisplayTitleBlockCommand
Show/Hide, FusionChangeBorderVisibilityCommand
Show/Hide, FusionChangeTitleBlockVisibilityCommand
Title Blocks, FusionTitleBlockManagementCommand
Edit Properties, FusionEditPropertiesCommand
Reset Properties, FusionResetPropertiesCommand
Revision Marker, FusionDrawingRevMarkerCommand
Revision Marker Edit, FusionDrawingRevMarkerEditCommand
Switch Configuration, SwitchConfigurationCommand
Undo, DrawingUndoCommand
Redo, DrawingRedoCommand
Quick Add, FusionDrawingSheetNewCommand
Add Sheet, FusionDrawingSheetAddCommand
Activate Sheet, FusionDrawingSheetActivateCommand
Delete Sheet, FusionDrawingSheetDeleteCommand
Delete Sheets, FusionDrawingMultiSheetDeleteCommand
Rename Sheet, FusionDrawingSheetRenameCommand
Reorder Sheet, FusionDrawingSheetReorderCommand
Duplicate Sheet, FusionDrawingSheetDuplicateCommand
Drawing Debug, FusionDrawingDebugCommand
Print, FusionDrawingPrintCommand
Print, FusionDrawingPrintSingleSheetCommand
Print, FusionDrawingPrintSelectedSheetsCommand
Insert Image, FusionDrawingImageInsertCommand
Image, FusionDrawingBlockEditorImageInsertCommand
Insert Image, FusionDrawingTemplateImageInsertCommand
Image, FusionDrawingImageEditCommand
Properties, FusionDrawingBlockRefEditCommand
Feature Toggle, FusionDrawingFeatureToggleCommand
PARTS LIST, FusionDrawingPartsListEditCommand
BEND TABLE, FusionDrawingBendTableEditCommand
REVISION HISTORY, FusionDrawingRevisionTableEditCommand
HOLE TABLE, FusionDrawingHoleTableEditCommand
ORIGIN, FusionDrawingOriginSymbolEditCommand
Create Sketch, FusionDrawingSketchCommand
Finish Sketch, FusionDrawingSketchCloseCommand
Show/Hide, SketchShowHideCommand
Rename Sketch, FusionDrawingSketchRenameCommand
Cut, FusionDocCutSketchCommand
Copy, FusionDocCopySketchCommand
Paste, FusionDocPasteSketchCommand
Copy, FusionDocCopyMtextCommand
Cut, FusionDocCutMtextCommand
Paste, FusionDocPasteTextCommand
Paste, FusionDocPasteCustomMTextCommand
Cut, FusionDocCutGeomEntityCommand
Copy, FusionDocCopyGeomEntityCommand
Paste, FusionDocPasteGeomEntityCommand
Paste, FusionDocPasteExternalCustomTableCommand
Copy, FusionDocCopyCustomTableCommand
Paste, FusionDocPasteCustomTableCommand
Cut, FusionDocCutDefaultCommand
Copy, FusionDocCopyDefaultCommand
Paste, FusionDocPasteDefaultCommand
Delete, FusionDrawingSketchDeleteCommand
Edit Sketch, FusionDrawingSketchEditCommand
Edit Palette Linetype, EditPaletteLinetypeCommand
Edit Palette Lineweight, EditPaletteLineweightCommand
Edit Palette Color, EditPaletteColorCommand
Toggle Other Geometry, TogglePaletteOtherGeometryCommand
Toggle Palette Snap, TogglePaletteSnapCommand
Toggle Palette Grid, TogglePaletteGridCommand
Toggle Palette Border, TogglePaletteBorderCommand
Toggle Palette Sheet, TogglePaletteSheetCommand
Quick Auto Dimension, FusionDrawingQuickAutoDimensionCommand
Edit Auto Dimensions, FusionDrawingAutoDimensionEditCommand
Get Alternate Dimension, FusDocGetAlternateDimCommand
Update, FusionDrawingUpdateLinkTable
Break, FusionDrawingBreakLinkTable
Refresh, ManageExtRefreshCmd
Change Automation Settings, FusionDocAutomationSettingsCmd
Auto Dimension, FusionDrawingAutoDimensionCommand
Tidy Up, FusionDrawingTidyUpCommand
Change Zoom Level, PublisherChangeZoomLevelCmd
Activate Storyboard, PublisherActivateStoryboardCommand
Rename Storyboard, RenameStoryboardCmd
Transform Components, PublisherMoveComponentsCommand
Restore Home, PublisherRestoreHomeCommand
Auto Explode: One Level, PublisherExplodeDirectChildrenCommand
Auto Explode: All Levels, PublisherExplodeAllPartsCommand
Manual Explode, PublisherManualExplodeCommand
Delete, PublisherDeleteCommand
Delete Actions, PublisherDeleteActorCommand
Copy, PublisherCopyCommand
Paste, PublisherPasteCommand
Move Steps/Storyboards, PublisherMoveSequenceEntryCommand
Show/Hide, PublisherVisibilityToggleCmd
Appearance, PublisherAppearanceCommand
Change Material Scope, PublisherScopeMaterialCommand
Toggle Material, PublisherMaterialToggleCommand
Duration, PublisherDurationCmd
Edit Start/End, PublisherEditActionCmd
Edit Start, PublisherEditSmartObjectActionCmd
Camera Change, PublisherCreateCameraActionCmd
Reverse, ReverseSequenceEntryCmd
Rename, RenameStoryboardShellCmd
Align start time, AlignActionStartTimesCmd
Align end time, AlignActionEndTimesCmd
Select All After, SelectAllAfterCmd
Select All Before, SelectAllBeforeCmd
Change Action Start Time, PublisherChangeActionStartTimeCmd
Change Action End Time, PublisherChangeActionEndTimeCmd
Move Action, PublisherMoveActionCmd
View, PublisherToggleCameraRecordingCmd
Expand, PublisherExpandCompositeActionsCmd
Reorder Actor, ReorderActorCommand
Publish Video, ExportVideoCommand
Find in Browser, PublisherFindInBrowser
Find in Window, PublisherFindInWindow
Edit Application Settings, ApplicationSettingsEditCmd
New Storyboard, PublisherCreateStoryboardCommand
Edit Action, PublisherEditTransformActionCommand
From Animation, PublisherNewDrawingDocumentCommand
Isolate, PublisherIsolateCmd
Unisolate, PublisherUnisolateCmd
Create Selection Set, PublisherCreateSelectionGroupCmd
Activate Config, PublisherActivateConfigRow
PublisherViewCamera, PublisherViewDisplayCommand
Create Callout, CalloutCommand
Move Callout, DragCalloutCmd
Edit Callout, CalloutEditCommand
Show/Hide Trail Lines, PublisherTrailVisibilityCommand
Show All Trail Lines, PublisherTrailShowAllCommand
Hide All Trail Lines, PublisherTrailHideAllCommand
Move Trail Line, TrailDragCmd
New Electronics Design, NewElectronDesignMenuCommand
New PCB, NewElectronPcbDocumentCommand
New Schematic, NewElectronSchDocumentCommand
New Electronics Library, NewElectronLbrDocumentCommand
Window Selection, Electron::GroupWindow
Polygon Selection, Electron::GroupPolygon
Cross Selection, Electron::GroupCrossSelection
Net Class and Signal Colors, Electron::NetClassAndSignalColors
Push to 3D PCB, Electron::Pcb3DViewAdvanced
Configure 3D PCB, PCB3DConfigCmd
Push to 2D PCB, PCBExportBrdCmd
Link to 2D PCB, PCBLinkToBrdCmd
3D Package Editor, Package3DCmd
Finish, Package3DStop
New Package, Package3DCreateCmd
Remove 3D PCB Link, RemovePCB3DLinkCmd
Create Footprint, FootprintSketchCreateCmd
New Electronics Design, NewElectronDesignDocumentCommand
Switch to PCB document, SwitchPcbDocCmd
Switch to Schematic document, SwitchSchDocCmd
Get All Latest, GetLatestElectronCmd
Get Latest PCB, GetLatestPcbCmd
Get Latest Schematic, GetLatestSchCmd
Launch the undo command, LaunchUndoCmdDef
Launch the redo command, LaunchRedoCmdDef
Reference a PCB document, ReferenceToPCBCmd
Reference a Schematic document, ReferenceToSCHCmd
Remove PCB Link, RemovePCBLinkCmd
Remove Schematic Link, RemoveSCHLinkCmd
Save all command, ElectronSaveAllCmd
Save as all linked files command, ElectronSaveAsAllCmd
Save BOM data, SaveBOMDataCmd
Export PCB Data for Ansys, AnsysCmd
Export ODB++ Output, CAMOdbExportCmd
Show Editor Side Panel, EditorSidePanelOpenCommand
Hide Editor Side Panel, EditorSidePanelCloseCommand
Show Electron Design Description, ShowElectronDescriptionCommand
Hide Electron Design Description, HideElectronDescriptionCommand
Show Content Manager Panel, ContentManagerPanelOpenCommand
Hide Content Manager Panel, ContentManagerPanelCloseCommand
Show Design Manager, ShowElectronDesignManagerCommand
Hide Design Manager, HideElectronDesignManagerCommand
Show Inspector, ShowElectronInspectorCommand
Hide Inspector, HideElectronInspectorCommand
Show Analyze Signal, ShowElectronAnalyzeSignalCommand
Hide Analyze Signal, HideElectronAnalyzeSignalCommand
Show Display Layers Panel, ShowElectronLayersPanelCommand
Hide Display Layers Panel, HideElectronLayersPanelCommand
Show Errors Panel, ShowElectronErrorsPanelCommand
Hide Errors Panel, HideElectronErrorsPanelCommand
Show Command Guidance, ShowCommandGuidanceCommand
Hide Command Guidance, HideCommandGuidanceCommand
Show Selection Filter, ShowElectronSelectionFilterCommand
Hide Selection Filter, HideElectronSelectionFilterCommand
Show Sheets, ShowElectronSheetsCommand
Hide Sheets, HideElectronSheetsCommand
Updates Eagle WIP libraries version information, UpdateEagleLibrariesVersions
Search for 3D package updates., UpdateLbrPackagesCmd
Updates Eagle WIP libraries information, RefreshEagleWIPLibraryCmd
Deletes Eagle WIP library information, DeleteEagleWIPLibraryCmd
Set focus on EAGLE command line bar, Electron::FocusEagleCommandLine
Set focus on EAGLE command line bar, Electron::FocusEagleCommandLine0
Set focus on EAGLE command line bar, Electron::FocusEagleCommandLine1
Push Vias, TogglePushViasCmd
ViolationMode, ViolationModeCommand
Ignore Violators, IgnoreViolatorsCommand
Push Violators, PushViolatorsCommand
Walkaround Violators, WalkaroundViolatorsCommand
Import sch and brd command, ImportSCHAndBRDCmd
Shortcuts, Electron::Shortcuts
Import eagle files as electronics design, ElectronicsDesignImportCmd
Import KiCAD files as electronics design, KicadDesignImportCmd
Add, Electron::AddPart
Analyze Signal, Electron::AnalyzeSignal
Place Components, Electron::ToggleAddPanel
Design Block, Electron::AddDesignBlock
Align, Electron::Align
Arc, Electron::Arc
Arrange, Electron::Arrange
Attribute, Electron::Attribute
Autorouter, Electron::AutoRouter
Outline Arc, Electron::BoardShapeArc
Outline Circle, Electron::BoardShapeCircle
Outline Polyline, Electron::BoardShapePolyline
Outline Spline, Electron::BoardShapeSpline
Bill of Materials, Electron::Bom
Add Bus, Electron::Bus
Break Out Bus, Electron::BusBreakOut
Export Gerber, NC Drill, Assembly and Drawing Outputs, Electron::CAMExport
CAM Preview, Electron::CAMPreview
CAM Processor, Electron::CAMProcessor
Change, Electron::Change
Circle, Electron::Circle
Net Class, Electron::Class
Show All PCB Sketches, Electron::ConstructionShowAll
Hide All PCB Sketches, Electron::ConstructionHideAll
Copy, Electron::Copy
Copy Format, Electron::CopyFormat
Cut, Electron::Cut
Delete, Electron::Delete
Dimension, Electron::Dimension
Display Layers, Electron::Display
Design Rules, Electron::DRC
Design Preferences, Electron::DesignPreferences
ERC, Electron::ERC
Check Design Rules, Electron::Errors
Export Libraries, Electron::ExpLib
Export, Electron::Export
Fanout, Electron::Fanout
Flip Board, Electron::FlipBoard
Gate Swap, Electron::GateSwap
Grid Settings, Electron::Grid
Select, Electron::Group
Select All, Electron::GroupAll
Document Attributes, Electron::GlobalAttributes
Hole (NPTH), Electron::AddHole
Info, Electron::Info
Insert Design Block, Electron::InsertDesignBlockToSch
Insert Design Block, Electron::InsertDesignBlockToPCB
Insert DXF/DWG, Electron::InsertDxf
Insert Electronic Design, Electron::InsertElectronicDesignToSch
Insert Electronic Design, Electron::InsertElectronicDesignToPCB
Insert 2D PCB, Electron::Insert2DPCB
Insert Schematic, Electron::InsertSch
Invoke, Electron::Invoke
IPC-D-356 Netlist, Electron::IpcNetlist
Junction, Electron::Junction
Label, Electron::Label
Layer, Electron::Layer
Layer Stack, Electron::LayerStack
Line, Electron::Line
Unlink from managed library on library.io, Electron::UnlinkLibrary
Lock, Electron::Lock
Lock All, Electron::LockAll
Lock Current Layer, Electron::LockCurrentLayer
Unlock All, Electron::UnlockAll
Push changes to managed library on library.io, Electron::CreateLibrary
Add Spice Model, Electron::AddSimModel
Mark Local Origin, Electron::Mark
Meander, Electron::Meander
Miter, Electron::Miter
Mirror, Electron::Mirror
Module, Electron::Module
Move, Electron::Move
Name, Electron::Name
Net, Electron::Net
Net Breakout, Electron::NetBreakout
New Symbol, Electron::NewSymbol
New Footprint, Electron::NewPackage
New Component, Electron::NewDevice
Optimize, Electron::Optimize
PTH Pad, Electron::Pad
PTH Pad Array, Electron::PadArray
Paint Roller, Electron::PaintRoller
Paste, Electron::Paste
Paste Pins, Electron::PastePins
Pattern, Electron::Pattern
PickAndPlace, Electron::PickAndPlace
Pin, Electron::Pin
Pin Array, Electron::PinArray
Break Out Pins, Electron::PinBreakout
Pin Swap, Electron::PinSwap
Polygon Shape, Electron::PShape
Polygon Pour, Electron::PPour
Polygon Cutout, Electron::PCutout
Polygon, Electron::Polygon
Hide all Polygon Pour fills, Electron::PolyHideFillAll
Re-fill Polygon Pours, Electron::PolyRefill
Polygon Pour from Outline, Electron::PolygonizeCopy
Show all Polygon Pour fills, Electron::PolyShowFillAll
Port, Electron::Port
Print, Electron::Print
QuickRoute Airwire, Electron::QuickRouteAirWire
QuickRoute Signal, Electron::QuickRouteSignal
QuickRoute Multiple, Electron::QuickRouteMultiWire
QuickRoute Smooth, Electron::QuickRouteSmooth
QuickRoute Guided, Electron::QuickRouteGuided
QuickTune, Electron::QuickTune
Ratsnest, Electron::Ratsnest
Rectangle, Electron::Rectangle
Redo, Electron::Redo
Redraw, Electron::ZoomRedraw
Remove Spice Model, Electron::RemoveSimModel
Replace, Electron::Replace
Reposition Attributes, Electron::RepositionAttributes
Replace Missing Fonts, Electron::ReplaceMissingFonts
Replace Missing Fonts With Proportional, Electron::ReplaceMissingFontsUseProportional
Replace Missing Fonts With Arial, Electron::ReplaceMissingFontsUseArial
Reroute, Electron::Reroute
Unroute, Electron::Ripup
Unroute All, Electron::RipupAll
Ripup Polygons, Electron::RipupAllPolygons
Unroute Connected, Electron::RipupConnected
Unroute Connected Same Layer, Electron::RipupConnectedSameLayer
Unroute Between Components, Electron::RipupElementToElement
Unroute Incomplete, Electron::RipupInComplete
Unroute Signal, Electron::RipupSignal
Unroute From-To, Electron::RipupFromTo
Rotate, Electron::Rotate
Route Manual, Electron::ManualRoute
Route Differential Pair, Electron::RouteDiffPair
Route Multiple, Electron::RouteMulti
Run ULP, Electron::RunULP
Run Script, Electron::RunScript
Link to managed library on library.io, Electron::LinkLibrary
Show, Electron::Show
Signal, Electron::Signal
Simulate, Electron::Simulate
Show Simulation Overlay, Electron::SimOpToggle
Voltage Probe, Electron::VProbe
Phase Probe, Electron::VpProbe
Analog Source Setup, Electron::SourceSetup
Digital Source Setup, Electron::DSourceSetup
Slice, Electron::Slice
SMD Pad, Electron::Smd
SMD Pad Array, Electron::SmdArray
Split, Electron::Split
Stop Command, Electron::StopCommand
Via Stitching, Electron::Stitch
Text, Electron::AddText
Toggle Single Layer View, Electron::ToggleSingleLayer
Undo, Electron::Undo
Unroute, Electron::Unroute
Unroute All, Electron::UnrouteAll
Unroute Connected, Electron::UnrouteConnected
Unroute Connected Same Layer, Electron::UnrouteConnectedSameLayer
Unroute Between Components, Electron::UnrouteElementToElement
Unroute Incomplete, Electron::UnrouteInComplete
Unroute Signal, Electron::UnrouteSignal
Unroute From-To, Electron::UnrouteFromTo
Pull changes from managed library on library.io, Electron::UpdateLibrary
